 5109;CEREALE BRASIL AGROINDUSTRIAL LTDA              ;NENHUM              ;SP007;07825834000185;QUADRA 200, LOTE 21-A S/N               ;MARIANO LOPES       ;17300000;DOIS CORREGOS       ;SP;CEREALE BRASIL AGROINDUSTRIAL LTDA              ;01436529026;
 1514;CERRADINHO ACUCAR, ETANOL E ENERGIA S/A         ;CERRADINHO          ;SP004;47062997000178;ROD.VIC.JOSE FERNANDES S/N KM 01+ 881MTS;ZONA RURAL          ;15800970;CATANDUVA           ;SP;CERRADINHO ACUCAR, ETANOL E ENERGIA S/A         ;01735312000;
 4307;CERRADINHO ACUCAR, ETANOL E ENERGIA S/A         ;CERRADINHO          ;SP004;47062997008233;ESTRADA MUNICIPAL IBIRA A POTIRENDABA   ;ZONA RURAL          ;15105000;POTIRENDABA         ;SP;CERRADINHO ACUCAR, ETANOL E ENERGIA S/A         ;01738279900;
 4772;CERRADINHO BIOENERGIA S.A.                      ;CERRADINHO          ;GO002;08322396000103;ROD GO 050, KM 11 + 900 METROS S/N      ;ZONA RURAL          ;75828000;CHAPADAO DO CEU     ;GO;PORTO DAS AGUAS                                 ;06436342800;
 5216;CERVEJARIA PETROPOLIS S/A                       ;NENHUM              ;PR004;73410326001051;AV DAS ARAUCARIAS, 5909                 ;CHAPADA             ;83707752;ARAUCARIA           ;PR;CERVEJARIA PETROPOLIS S/A                       ;04121418000;
 4766;CESPT-CENTRAL ENERGETICA SAO PEDRO DO TURVO LTDA;NENHUM              ;SP004;07460784000180;FAZENDA SAO JOSE                        ;AGUA SUJA           ;18940000;SAO PEDRO DO TURVO  ;SP;CESPT                                           ;01433775234;
 5075;CHEMICOACHING S.A.S                             ;NENHUM              ;EX001;07460784000180;CARRERA 36 N. 15 - 111, BODEGA 17       ;YUMBO               ;00000000;VALLE - COLOMBIA    ;XX;CHEMICOACHING S.A.S                             ;05726957190;
   41;CIA ALBERTINA MERCANTIL E INDUSTRIAL            ;NENHUM              ;SP004;71320857000137;FAZENDA SAO MIGUEL                      ;ZONA RURAL          ;14160970;SERTAOZINHO         ;SP;CIA ALBERTINA MERCANTIL E INDUSTRIAL            ;01635139000;
 4850;CLARION S/A AGROINDUSTRIAL                      ;NENHUM              ;PR001;24956666000267;ROD PR 435 SN EDIF 2 SL 3               ;SANTA LAURA         ;84900000;IBAITI              ;PR;IBAITI                                          ;04335468300;
 4094;CLAUDIO DE SOUZA CARVALHO                       ;NENHUM              ;MG001;46973567649   ;RUA VIRGILIO LIMA, 58                   ;LUCILIA             ;35930037;JOAO MONLEVADE      ;MG;CLAUDIO DE SOUZA CARVALHO                       ;03184833178;
